Date,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9
2013-01-22,-0.9606463013980231,-0.47131665264028383,-0.8387096774193549,-0.47131665264028383,-0.5615973627085851,-0.33333333333333326,0.6679843461635888,-2.220446049250313e-16,0.2833552731174749,1.0
2013-01-23,-0.8734775114237133,-0.6456284545814115,-0.75,-0.6456284545814115,-0.48101073667030425,-0.33333333333333326,0.34605619805448673,-0.7647058823529411,0.32162348937805896,0.96875
2013-01-24,-0.8389968171085991,-0.2540454752318306,-0.4177215189873419,-0.2540454752318306,0.21744576195916854,-0.11111111111111116,-0.6889307547579833,-0.5555555555555556,0.09377459733348781,0.9113018597997138
2013-01-25,-0.6139286298159342,-0.105617324782649,-0.6507936507936509,-0.105617324782649,0.5792533490140699,0.33333333333333326,0.2033078066921834,0.33333333333333326,0.11312147099824177,0.9174603174603173
2013-01-28,-0.36677572861691493,-0.03387646215623844,-0.7916666666666667,-0.03387646215623844,-0.17217949353676076,-0.5555555555555556,-0.023576814655227096,-0.7777777777777779,0.49531773052511974,0.44957983193277307
2013-01-29,-0.3667757286169161,-0.07197809020807105,-0.7534246575342465,-0.07197809020807105,0.26659737587041366,-0.11111111111111116,-0.9931871209855057,0.17647058823529416,0.2107213667070187,0.2838515546639917
2013-01-30,0.1758993861825757,0.05762381576438449,0.15384615384615397,0.05762381576438449,0.5641896289308419,-0.5555555555555556,0.19167156735577895,1.0,-0.20921894380833683,0.9392712550607287
2013-01-31,0.1758993861825757,0.1854815133858909,-0.5853658536585367,0.1854815133858909,0.23782192676213976,-0.11111111111111116,-0.305148866681334,0.7777777777777778,-0.19907507723510975,0.5750834260289208
2013-02-01,0.21320071635561158,0.010066591286259004,-0.6091954022988506,0.010066591286259004,0.2700726979962307,-0.11111111111111116,0.6920526099725266,0.2857142857142858,-0.04401257758117383,1.0
2013-02-04,-0.0,-0.004809601084762754,0.2753623188405798,-0.004809601084762754,0.8237178272357251,-0.33333333333333326,-0.1611116252324143,-2.220446049250313e-16,0.4300440346978949,0.3018080667593881
2013-02-05,-0.437967871855336,0.10256328845006668,-0.16363636363636358,0.10256328845006668,0.6529850002704449,-0.11111111111111116,0.26400184631347656,-0.11111111111111116,-0.5412738179758179,1.0
2013-02-06,-0.25210974204480424,0.25451063021730524,-0.5625,0.25451063021730524,-0.7461707075614231,-0.11111111111111116,0.02531760939476757,1.0,0.017619505169921945,0.7563451776649748
2013-02-07,-0.3575976876249237,0.3254351140150144,-0.5463917525773196,0.3254351140150144,0.3674592326050494,-0.5555555555555556,-0.4216433206603971,1.0,-0.5774487289267616,0.9217877094972067
2013-02-08,-0.7989003431228175,0.3744161540623949,-0.1250000000000001,0.3744161540623949,0.10136792790707916,-0.5555555555555556,-0.024929516804476748,-0.33333333333333326,-0.851997556103702,0.9440089585666294
2013-02-11,-0.769990503509017,0.39525210305814523,-0.2753623188405798,0.39525210305814523,-0.08247469811762254,-0.33333333333333326,-0.018451968716744593,1.0,-1.0,0.7135278514588861
2013-02-12,-0.625188723686185,0.5444290739643529,0.49090909090909096,0.5444290739643529,0.5827812331843663,-0.33333333333333326,-0.7499972490188167,-0.11111111111111116,-1.0,0.8859527121001389
2013-02-13,0.07114836395801438,-0.054849854596700595,-0.23529411764705888,-0.054849854596700595,-0.2062236656757963,0.11111111111111105,0.026426578051937932,-1.0,-0.5150328559557303,0.670854271356784
2013-02-14,-0.19079961840114348,0.20625838677994526,-0.061224489795918324,0.20625838677994526,-0.5746279597748187,0.11111111111111105,-0.9059974766037866,-0.7777777777777779,-0.7871080494636937,0.4561797752808989
2013-02-15,-0.19079961840114348,-0.13289733322021188,-0.10810810810810823,-0.13289733322021188,-0.36236927941270003,0.11111111111111105,0.37268499824152346,-0.7777777777777779,0.4154667907158178,0.20481927710843362
2013-02-19,-0.4190009519712433,-0.0178168239713906,-0.8125,-0.0178168239713906,-0.4747535173840566,0.5555555555555556,-0.054165885184043194,-0.7777777777777779,0.44476973387764995,0.7071129707112971
2013-02-20,-0.43799783705305867,-0.011064970410735476,2.220446049250313e-16,-0.011064970410735476,0.3175140136559569,0.33333333333333326,0.012285739993701528,-1.0,-0.17801657000881954,0.9376391982182628
2013-02-21,-0.578411664413511,0.01889305265351396,0.18367346938775508,0.01889305265351396,0.9688950904907847,-0.5555555555555556,-0.5718946344868854,-1.0,-0.43183106825784323,-1.0
2013-02-22,-0.4317943001679125,0.02489459747555904,-0.595959595959596,0.02489459747555904,0.1704187419913794,-0.11111111111111116,-0.3590673567498144,-1.0,-0.4461144769703035,1.0
2013-02-25,-0.2358264485090404,0.09784266258337687,1.0,0.09784266258337687,1.0,-0.5555555555555556,0.38745196435860985,-0.33333333333333326,-0.5850281548409475,0.9517102615694164
2013-02-26,-0.2933435190490281,0.02246794890220442,1.0,0.02246794890220442,0.13768074878579384,-0.7777777777777779,0.6611600471635655,0.23076923076923084,0.04659990040556505,0.8994413407821229
2013-02-27,0.515299643685876,0.052741692793632354,-0.3877551020408162,0.052741692793632354,-0.3189961866660468,-0.5555555555555556,-0.9460035060704173,-0.6666666666666665,-0.5400030358766765,0.806451612903226
2013-02-28,0.9192771195538395,0.040735832152637284,1.0,0.040735832152637284,-0.020905503447825047,-0.33333333333333326,-0.10975541676843092,-0.22222222222222232,-0.3716429882250446,0.9516129032258065
2013-03-01,0.7490431054154952,-0.3490570247045315,-0.09433962264150919,-0.3490570247045315,-0.24861121980575296,-0.11111111111111116,-0.7149969343379434,-1.0,0.32818899388591816,-0.7464788732394364
2013-03-04,-0.12643043435604268,-0.02688460015286924,-0.3650793650793652,-0.02688460015286924,-0.03020529655530446,0.7777777777777778,-0.07946560760921817,-1.0,-0.1204330935385719,0.04504504504504503
2013-03-05,-0.24015124343779276,0.059346192078531576,-0.6615384615384614,0.059346192078531576,-0.48165005170847963,0.33333333333333326,0.30882501437527177,-0.4444444444444444,-0.050739610274922575,1.0
2013-03-06,-0.12707606131310215,0.4170211391544317,-0.8481012658227848,0.4170211391544317,-0.5160015350365219,0.5555555555555556,0.30920998145354983,-0.6666666666666665,-0.42855307723720193,0.8318425760286223
2013-03-07,0.15939417826583502,0.457821680452519,-1.0,0.457821680452519,-0.6850379066631023,0.7777777777777778,0.7712020435342006,0.33333333333333326,-0.5999219317095215,0.7717121588089331
