y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.026661156,4.7193473e-05,0.0041134725,3.3736453e-06,3.0989548e-05,0.16763939,0.081715725,0.015042085,0.7006919,0.0040547517
0.026484916,4.3036012e-05,0.0037579266,3.6994375e-06,2.712816e-05,0.16803315,0.08927595,0.015782498,0.69306046,0.0035313095
0.020257864,3.8599366e-05,0.0033714166,3.3293954e-06,2.2713459e-05,0.16057232,0.07683608,0.016406594,0.71936727,0.003123771
0.025650084,4.8684993e-05,0.0034282538,4.550497e-06,2.9731944e-05,0.17573227,0.10202551,0.017338792,0.6724036,0.0033385102
0.029201267,5.9300884e-05,0.0037640466,6.380646e-06,3.986379e-05,0.1768413,0.14123827,0.015907858,0.6300506,0.0028911515
0.026303928,5.7746558e-05,0.003107225,6.3526572e-06,3.64677e-05,0.184117,0.14293781,0.017024504,0.623175,0.0032339932
0.01878064,4.250407e-05,0.0027806498,4.9852088e-06,2.5642905e-05,0.17239451,0.112977766,0.018646989,0.67172664,0.0026196928
0.018540641,4.3031017e-05,0.0037353248,4.0810964e-06,2.684525e-05,0.16770972,0.08515191,0.01830661,0.70338154,0.0031002949
0.021411786,4.6268873e-05,0.0030110776,5.718881e-06,3.0181729e-05,0.17945373,0.1333098,0.01564975,0.6445177,0.0025639758
0.017368842,3.38059e-05,0.0022020533,5.2419127e-06,1.9558225e-05,0.16281535,0.13753742,0.017258506,0.6609841,0.0017751013
0.016257888,3.0779076e-05,0.002240658,4.573414e-06,1.8097728e-05,0.15561113,0.12927513,0.016339157,0.6784329,0.0017897803
0.020778926,4.7422065e-05,0.0027235358,5.4364455e-06,3.3595097e-05,0.1812134,0.1439629,0.013517582,0.6350775,0.0026397475
0.022469154,5.0012502e-05,0.003429683,4.593304e-06,3.421855e-05,0.17325471,0.11938306,0.014077135,0.66443545,0.0028619135
0.025361925,4.7338857e-05,0.0026165552,7.284762e-06,3.2709526e-05,0.19341499,0.1969325,0.014202963,0.56530476,0.0020789825
0.024901917,5.0453124e-05,0.0036009802,5.575198e-06,3.3362714e-05,0.18254572,0.13220026,0.016575756,0.6371107,0.0029752334
0.026514776,6.349688e-05,0.004006047,5.8497376e-06,4.515525e-05,0.20212136,0.11507108,0.016901998,0.631782,0.0034882212
0.028609136,6.381529e-05,0.004330624,5.8852534e-06,4.399278e-05,0.18120669,0.13968371,0.01608496,0.6267501,0.0032210897
0.029373862,5.1083403e-05,0.003552454,7.0897972e-06,3.2240707e-05,0.17978093,0.18565927,0.019355737,0.57947004,0.002717231
0.027208176,5.2571468e-05,0.0040412717,5.905064e-06,3.4758654e-05,0.17932838,0.14490429,0.017814193,0.6232107,0.0033997395
0.027881315,6.296991e-05,0.004450628,5.482288e-06,4.4779605e-05,0.18776894,0.11530417,0.016694972,0.6439967,0.0037900282
0.027624015,5.606749e-05,0.0043082302,5.0807257e-06,3.6794547e-05,0.18281972,0.10850139,0.018833576,0.6539725,0.0038426674
0.01372114,3.271704e-05,0.0020852566,4.211466e-06,1.8756717e-05,0.16925733,0.09934095,0.016964411,0.69664013,0.0019351519
0.025282493,5.2358642e-05,0.0033440285,7.24496e-06,3.6824822e-05,0.18126228,0.1539906,0.015286894,0.6183039,0.0024333533
0.020075586,4.4417626e-05,0.0032096754,5.0881436e-06,2.8044693e-05,0.16374263,0.1140365,0.015366756,0.6814709,0.0020204305
0.013600431,3.3709053e-05,0.002431747,3.6588685e-06,2.021983e-05,0.1677124,0.08523529,0.014479231,0.71425736,0.002225892
0.01654857,3.588911e-05,0.0023057773,3.9876936e-06,2.0728634e-05,0.167169,0.099250905,0.015744103,0.6967518,0.0021692764
0.019361267,4.297198e-05,0.0030507885,4.8049683e-06,2.762543e-05,0.16302069,0.10954674,0.014580683,0.68814576,0.0022187266
0.015696209,3.5440713e-05,0.0026372492,3.234004e-06,2.0152685e-05,0.16018388,0.07777197,0.014717235,0.72653085,0.002403763
0.02071861,3.710954e-05,0.0026166798,4.1052335e-06,2.2996002e-05,0.15782878,0.12633777,0.013880912,0.6759765,0.0025765565
0.015017346,3.3529268e-05,0.0028962258,3.25872e-06,2.098464e-05,0.15335388,0.08633481,0.0134845115,0.726362,0.0024933917
0.45064694,0.0005984261,0.0038163785,2.8920835e-05,0.0050321384,0.33757016,0.0047371015,0.0007862094,0.17664148,0.020142192
0.46335676,0.00051486236,0.0035375853,2.3192319e-05,0.004269664,0.31420383,0.00482774,0.000714757,0.19165578,0.016895818
0.4699233,0.00047609347,0.0031634134,2.174432e-05,0.004152886,0.31651136,0.0046973396,0.0006407638,0.18277378,0.017639311
0.45646366,0.00060663,0.004055288,2.85365e-05,0.0045549087,0.33623913,0.0046152445,0.00076536316,0.17399994,0.018671304
0.47051904,0.00059461733,0.004297317,2.865476e-05,0.004014557,0.32634667,0.0047816024,0.0007632395,0.17103498,0.017619401
0.46961,0.0005385186,0.0040332945,2.8128954e-05,0.0036744955,0.3256264,0.0050777285,0.000665693,0.17445448,0.016291233
0.43321884,0.0007308058,0.004432805,3.5991354e-05,0.005061514,0.34085345,0.005397432,0.0008410849,0.19033155,0.019096555
0.44612458,0.0007517648,0.004971165,3.307421e-05,0.0040630447,0.31883195,0.0057576573,0.0008846827,0.20164639,0.016935715
0.40921324,0.0008665382,0.0050900024,4.2360818e-05,0.0060559,0.35921595,0.0057804207,0.0010745032,0.19053881,0.022122258
0.43399394,0.0007085844,0.00427643,3.5735946e-05,0.005186579,0.3273277,0.0061344104,0.00089396036,0.20089476,0.020547876
0.46992496,0.0006123067,0.0044210074,3.145637e-05,0.0038266692,0.31974867,0.0054573836,0.00080386933,0.17741972,0.017753832
0.46920824,0.0005368907,0.0040706233,2.9139634e-05,0.003846887,0.31559297,0.0056486614,0.00074457267,0.18331467,0.017007349
0.48308328,0.0003542906,0.002893288,1.9281055e-05,0.0036258136,0.30721888,0.0051820152,0.0005437123,0.18176642,0.015313074
0.4750051,0.0003341557,0.002461339,1.7163573e-05,0.004036513,0.30803785,0.0047584567,0.0004881131,0.18937463,0.015486741
0.48205996,0.00034652848,0.0024651308,1.7511798e-05,0.0035682016,0.3217772,0.003956325,0.00044453552,0.16941567,0.015948888
0.49414718,0.00029664638,0.0020625547,1.352808e-05,0.003355237,0.30879894,0.0036314658,0.00040264014,0.17200342,0.015288459
0.46405315,0.00038055237,0.0025020994,1.9373745e-05,0.004171272,0.33991197,0.003916274,0.0004799573,0.16628888,0.018276516
0.47390723,0.00035099316,0.0024010185,1.6801043e-05,0.0037203592,0.333734,0.0036396747,0.00044958622,0.16511187,0.016668418
0.45497644,0.0004429806,0.0029496222,2.2032318e-05,0.0045645866,0.334709,0.0043195765,0.0006055861,0.17879222,0.018617984
0.47437078,0.00040607693,0.0025898863,1.8109507e-05,0.004105061,0.31437868,0.0039778734,0.00057313207,0.181661,0.017919363
