y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.18493634,0.0002527501,0.0066464012,0.0031735646,0.09481263,0.03578902,0.16629562,0.29292554,0.021355107,0.19381307
0.19654675,0.00024051571,0.0059982343,0.0028927773,0.09638307,0.033509757,0.15931107,0.29058075,0.021445261,0.19309181
0.20726666,0.00025414204,0.006828301,0.002955407,0.09731895,0.037846986,0.1654523,0.27955747,0.021533368,0.1809864
0.20531018,0.00024414295,0.0061928662,0.0028640083,0.09278297,0.032421943,0.17171308,0.27890086,0.019657748,0.18991219
0.17307852,0.00021477616,0.0047506997,0.0031260985,0.08688698,0.025033832,0.1544781,0.30967805,0.021080805,0.22167213
0.20345314,0.0002264315,0.005174786,0.0027419243,0.09561305,0.028516226,0.15375863,0.2936596,0.021144882,0.19571133
0.21827018,0.00022224576,0.0058144047,0.0027145657,0.08831229,0.03063794,0.1656734,0.2768824,0.022643276,0.18882921
0.19728473,0.00022855605,0.00449738,0.0030783042,0.08882464,0.023157794,0.15611537,0.29924887,0.021591809,0.20597252
0.19633676,0.00023381702,0.0056824083,0.0029207221,0.09243011,0.032897625,0.15413517,0.30408236,0.02421919,0.18706179
0.20321548,0.00024238238,0.0064464197,0.0028750177,0.102351815,0.040654436,0.157651,0.287205,0.024928186,0.17443019
0.20166233,0.00027518405,0.008274809,0.0029511228,0.10325019,0.05210345,0.16622259,0.27900463,0.02483564,0.16142
0.21739614,0.0002714206,0.0073342067,0.0028177798,0.105535,0.046103112,0.15124153,0.2789182,0.025403008,0.16497962
0.19379076,0.00025768252,0.006580127,0.0029702,0.10580276,0.041487858,0.1535167,0.29214227,0.024031179,0.17942053
0.19094221,0.000261422,0.0062677143,0.0029546593,0.109952316,0.039307125,0.15701689,0.2894451,0.022757426,0.18109515
0.1946958,0.00024923464,0.006716359,0.0029130604,0.10393332,0.042952154,0.14982101,0.2945561,0.02487507,0.17928793
0.19484098,0.00025226342,0.0071850177,0.002813253,0.10758221,0.04699965,0.15747088,0.28667516,0.024586821,0.17159382
0.18953013,0.00028162272,0.008573795,0.0029238812,0.10440025,0.05220385,0.17145221,0.2844963,0.02298653,0.16315147
0.2043331,0.00026653046,0.006583096,0.003155297,0.097150855,0.035838764,0.15443851,0.2889188,0.022823818,0.18649128
0.22298388,0.00025389675,0.006212006,0.0026872258,0.09697328,0.035802495,0.16001835,0.27941328,0.022968061,0.17268753
0.22157076,0.00025766264,0.0060229106,0.0028047785,0.09134979,0.0330037,0.15574501,0.2892947,0.022868518,0.17708218
0.21045043,0.00024013538,0.0058852322,0.0032519703,0.087326854,0.029514976,0.13959703,0.2934623,0.024213845,0.20605718
0.21853474,0.00026923968,0.0062662438,0.0030979032,0.101207495,0.034358613,0.14635701,0.280507,0.023334399,0.18606733
0.22276518,0.0002697483,0.0074990923,0.0027711804,0.09948059,0.04740128,0.14483625,0.2761572,0.026400877,0.17241862
0.20292988,0.00029683555,0.009503713,0.002942982,0.106578186,0.062792525,0.1659819,0.2735021,0.02559778,0.14987412
0.19544956,0.00026586058,0.0072844676,0.0030339614,0.10549603,0.046148762,0.14943327,0.2897874,0.024959564,0.17814109
0.23347223,0.0002620562,0.006687023,0.0028428277,0.102172665,0.038390275,0.14540675,0.2726764,0.024087314,0.17400248
0.22106425,0.00025609977,0.0075642923,0.0028877421,0.09527991,0.04469214,0.1530339,0.27655426,0.025548492,0.1731189
0.21712595,0.00027322053,0.00734041,0.003004893,0.09831197,0.042422276,0.15530463,0.28080964,0.024426665,0.17098044
0.21194613,0.00025248132,0.0069491016,0.0027803688,0.10235449,0.04452668,0.14501625,0.28545702,0.026746962,0.17397042
0.21906325,0.00027013393,0.007379674,0.002886294,0.10437867,0.04598967,0.1468099,0.28366345,0.026640853,0.1629181
0.085924976,0.0007909355,0.013628733,0.026918445,0.200671,0.034613073,0.011170677,0.077649,0.014219033,0.53441405
0.06640677,0.00069351145,0.012003182,0.028241219,0.18124537,0.026602505,0.008761299,0.07097379,0.011238925,0.5938334
0.07804621,0.0006800496,0.014277256,0.025675422,0.22037269,0.030637428,0.009152682,0.083313175,0.014241108,0.5236039
0.07303811,0.0006970505,0.0142990975,0.027756969,0.19460146,0.03145095,0.009445179,0.06901551,0.011821115,0.5678745
0.08223164,0.00074532884,0.015774986,0.024172094,0.24025205,0.032410868,0.009191916,0.08305059,0.015285274,0.4968852
0.07034711,0.0007421589,0.017120657,0.02778978,0.22904776,0.042642847,0.01048546,0.08215737,0.013074476,0.50659233
0.059875652,0.0007340492,0.015631577,0.028348604,0.23696071,0.04065149,0.009790891,0.10361343,0.013129693,0.4912639
0.06675614,0.0006836159,0.015811553,0.02343236,0.2268147,0.04153774,0.0115772225,0.08524873,0.011584003,0.5165539
0.06282285,0.0007472863,0.015835699,0.03087819,0.21753645,0.044978272,0.011214951,0.09924101,0.011919914,0.5048254
0.060802676,0.00072818395,0.01454343,0.026536234,0.24111208,0.043503556,0.01117795,0.11627969,0.012077036,0.4732391
0.06549996,0.0007805722,0.016767206,0.026379403,0.22973892,0.048581433,0.012603823,0.091885746,0.011804473,0.49595848
0.058366857,0.0008072343,0.014977356,0.02850206,0.23687187,0.04551847,0.012557239,0.11765929,0.012257135,0.4724824
0.06778045,0.0007267107,0.01494211,0.021054799,0.25152627,0.040709876,0.011152522,0.10862902,0.012719787,0.4707584
0.08048627,0.0008819461,0.022093372,0.022246057,0.26783937,0.057191633,0.013618249,0.08487145,0.015396123,0.4353755
0.11199004,0.0011284701,0.022835072,0.021184094,0.27310678,0.056788307,0.015873857,0.075699314,0.020707242,0.4006868
0.08772933,0.0009768216,0.019239731,0.0237779,0.24954186,0.044432286,0.012826512,0.0741413,0.016121736,0.47121257
0.0966378,0.0009740756,0.022090033,0.021790763,0.2753556,0.046525322,0.012581671,0.07684109,0.018756568,0.42844698
0.08803818,0.0009151723,0.018194415,0.024212472,0.2643238,0.049434062,0.013218045,0.099982776,0.016639834,0.42504123
0.081243485,0.0009482193,0.01620724,0.027618697,0.2288597,0.046645325,0.013105916,0.098730356,0.014838419,0.47180262
0.07649406,0.00093031576,0.012154444,0.030003095,0.21189661,0.045112465,0.017037155,0.1377716,0.013467247,0.45513305
0.061151847,0.00090188906,0.013001941,0.035183635,0.20728773,0.043135043,0.013168412,0.14469762,0.013475589,0.46799636
0.07418575,0.00075873884,0.01570014,0.02494932,0.209254,0.034690097,0.010456949,0.06756255,0.012470363,0.54997206
0.07674848,0.00066847645,0.014840391,0.021820616,0.2171829,0.032748137,0.010481997,0.08038514,0.012540006,0.5325838
0.081637815,0.00079835474,0.013088591,0.027743444,0.21400954,0.040029217,0.014726517,0.10634269,0.013789027,0.4878349
0.06582759,0.000673523,0.010664233,0.027247433,0.18574752,0.027410582,0.010148313,0.09848078,0.011428465,0.5623716
0.062150378,0.00073759625,0.01382342,0.03254942,0.19676434,0.034630846,0.009889142,0.08020661,0.011498501,0.5577498
0.07238157,0.00067510904,0.013170455,0.021554,0.22473261,0.028141242,0.009429161,0.082491726,0.012774275,0.5346499
0.0864667,0.0008209808,0.017448738,0.025537662,0.24155104,0.04082424,0.011066949,0.0846043,0.016051808,0.4756276
0.06819396,0.00077450706,0.015632147,0.027252486,0.22293937,0.039360434,0.010641687,0.08322208,0.012731746,0.5192515
0.064486854,0.0007673174,0.014713855,0.026667261,0.25461444,0.043217532,0.010992004,0.11887713,0.013095422,0.45256817
0.005660703,0.02339611,0.4307582,0.20825692,0.12599868,0.10644159,0.07348877,0.011428214,0.0037827867,0.010787967
0.0052279024,0.023594376,0.43532816,0.20831707,0.12541983,0.10489925,0.07105232,0.011410602,0.003785314,0.010965133
0.0048228167,0.02366701,0.4429943,0.21327567,0.12297133,0.097154126,0.067992136,0.01208269,0.0037020475,0.011337849
