TSLA,GOOG,META,AAPL,MSFT,AMZN,NVDA,V,ORCL,CSCO
41938500,79986690,17150000,384837600,110700200,122330000,35322400,9322800,25910200,40488500
54331500,99880980,33018000,764097600,47799300,280600000,32433200,6127200,22376200,33713500
54595500,92376959,29201100,640326400,59116400,142340000,26971200,10694400,31381300,29476200
82839000,92613843,36245700,691538400,75165200,84976000,27671200,12161600,50028100,37777300
41142000,58418148,64567600,506909200,54330900,87828000,34131600,12252400,32712000,44773400
45756000,81034603,104257000,421828400,46059500,78724000,32348000,30677200,22992700,54869800
50680500,100880714,58506400,361300800,46784600,70280000,29386400,15026400,23976800,41962700
65500500,85973045,43939400,496641600,40978300,46956000,21711600,13084000,17964500,31315900
149865000,78653713,41259100,483753200,43078300,62674000,44806800,11876400,17955000,55003400
101548500,99102072,34654900,472598000,51595700,53540000,33403200,14449200,21382700,37412500
429075000,88353936,33457200,398487600,46417800,55386000,56680000,11501200,18722100,25790200
376239000,76192522,30847100,334852000,36394900,62906000,86113600,13837600,17364100,26926900
336253500,58157173,29068800,316948800,36027600,42990000,28981200,12480000,12193400,35347200
557458500,63408784,24930300,447118000,56870100,54000000,45414000,16074800,23560400,38494300
253180500,160033605,30299800,741613600,46303900,54410000,31317200,13624400,18360500,55412900
324210000,128865215,35499100,603204000,59382900,32870000,30836800,9913600,25526300,201626500
285033000,112098604,29462700,427904400,60666700,50546000,31211600,13248800,26986800,78569900
125226000,91248746,42402900,451578400,54020800,44180000,23638000,21192000,18326400,54632000
134973000,79617311,26261300,456022000,48702400,34824000,35778400,13422800,19682900,48135200
128520000,102807910,45314500,443038400,66047500,66640000,48040400,19563200,33742400,46836300
180333000,91345105,37663100,353021200,51102700,40006000,39388400,16906000,20442500,44376600
241863000,92216359,58727900,276166800,33174400,33926000,28330400,12306400,22642500,25036200
295378500,90638467,50079700,386145200,48212100,69420000,27930000,9937200,21432200,40023900
376492500,80837869,64237800,330576400,38412200,38068000,33505200,7490400,16004800,37314000
242005500,85145956,60733200,353519600,51131000,33350000,28450400,9628000,17928400,45162100
227580000,79071272,35925000,384302800,56165700,67486000,57750800,12514400,24412100,40885800
287094000,99399181,35733800,372352400,51252600,50878000,44446800,15232400,19782700,30815300
132841500,75024159,34760800,292728800,65529500,41772000,36367600,13528400,20324900,30628500
183372000,84587872,53819700,290589600,46025100,70246000,46452000,12176800,22005600,45742100
142663500,103550684,31260700,416934000,37618500,49526000,34104400,14664800,29158700,44830200
160674000,107385002,38699200,404535600,40757300,92652000,27458400,13899200,20548900,42729400
138429000,93862506,58393000,450153200,35994500,61730000,22414800,13779200,16901500,33779400
110910000,70567517,29885900,286112400,39435900,61956000,29633600,7856400,15274500,28060200
137890500,88522565,26445800,265227200,37372700,44778000,31258800,9994800,13731100,29980300
89424000,83106340,31189300,285832400,45654900,52996000,23625600,9760400,15727400,27238900
98470500,90136592,30677100,271866000,53192600,43016000,23601200,7427200,17551400,29841100
105993000,86173794,33664500,259414400,49670100,57680000,25533600,14779200,19398200,46042800
131929500,87000883,36709100,195025600,28616500,42922000,48677200,7579200,16949300,34939200
128683500,117073180,31790600,310940000,30816200,56550000,115958800,12220800,19408400,29472900
151597500,135385563,42765600,357310800,54493700,59680000,62869600,15534000,35222400,47759000
175779000,159889066,45833900,481118400,85338500,84020000,71422800,17923200,140813500,62052200
106797000,121128323,40626000,480746000,56109000,77276000,58077200,15527600,78919200,35972700
87730500,102510801,24713200,314162800,44073400,48992000,45736000,12721600,64051500,41334800
99039000,73530581,29890300,367724000,48665900,60590000,57975200,10392800,52429800,32721400
131173500,77348840,34694100,337246000,28993100,50390000,80803600,11102400,43014900,27115400
86229000,94324230,96778900,578516400,65545500,63866000,43153600,12656400,39787100,35574300
163554000,69250599,20582200,391053600,31055400,57764000,19952400,11616000,33962900,33674000
180961500,75943592,18394100,469865200,37630000,64764000,25639200,8749200,33114500,31098600
72100500,42036977,10404400,240928800,15994400,27460000,14038800,4533200,18629700,24775000
102280500,68331166,20229500,274024800,26085900,39708000,18468400,8495600,22193800,19984900
117213000,79075287,27064600,298138400,32396900,60934000,26208400,19588000,28904300,34669400
129049500,79472771,30387900,352584400,25318500,55512000,15736400,23330400,28854300,46103900
84001500,68592140,26721800,281405600,29658800,36204000,20846800,15523200,28458600,37757800
112254000,103755449,26777400,326292400,53638300,80146000,23983200,14235200,33193000,45944600
170160000,103113050,16537900,279563200,35501200,90786000,21636000,7782800,157674700,28410100
148836000,78713937,24234000,241917200,34142600,44912000,20133200,14529200,36543400,26879600
485578500,79617311,30817600,216538000,36378500,53204000,16256000,7515200,22531400,26336200
390435000,60469809,21518500,198990400,37285100,40594000,16610000,11118000,22357000,22080800
170971500,145924920,24806900,218878800,49547100,61276000,34448800,5938400,23615600,32996900
88354500,295475379,46539700,268721600,248428500,59462000,48053200,9048400,28512000,39224200
146967000,116563276,27526300,207796400,79040700,50414000,29238400,7930400,16760100,30419600
116046000,82134711,28221600,369395600,65810400,39992000,24679200,11710800,16771000,27954800
103035000,83451629,82635600,591936800,52803100,40010000,28425200,13993600,20003600,27330800
79264500,120493954,365457900,229493600,63213000,108116000,24332000,21923200,21050300,31482600
144496500,71374530,136028900,200152400,38633600,176350000,22736000,8709200,17308500,19946400
145183500,75959652,124718800,248057600,28870700,64236000,17954000,5776400,16119300,17839400
196905000,70487217,173582800,309422400,45799500,61068000,26607600,13911200,18340700,45348500
95275500,87265872,154828700,322957600,43898400,37826000,27016000,90073600,30540500,30709400
79854000,85856610,106066500,206250800,42557900,59434000,27764800,74287200,15797000,23330000
94048500,68812965,73058500,274783600,29199900,50052000,20962800,21698400,18998100,26496700
153010500,52584363,79994800,318855600,30984000,44664000,18518800,11479600,11151300,28701800
138817500,60469809,63950800,334857600,36331500,36980000,20660800,19986800,18620900,26093500
273183000,55374783,68854800,298858000,38078600,39220000,24438000,15556400,17416900,33489600
408702000,59743096,41301000,255777200,59034400,46868000,34569600,9626800,14204600,20512100
133915500,53146462,43532300,266865200,26800700,39006000,90622400,10028400,11646000,27309000
223683000,55286453,31161000,364434000,25493700,30090000,25756800,13622400,11746400,32103600
131233500,57004870,65379200,881941200,39464100,46998000,19746800,11407200,12738700,36466000
175407000,83600184,48423900,756372400,48519600,28300000,82850800,15338800,19684400,77049400
152688000,75048249,56521100,490294000,33338000,45228000,72361600,17288400,19574600,130110100
106621500,67255147,45840800,362306000,32866300,48450000,66045600,12612400,19504100,42426200
120565500,72707508,57609600,510518400,27902500,49548000,39343200,11982000,13385600,39630400
96273000,49504863,57995200,358688400,22979600,31726000,23419200,14135200,13870200,43650200
93994500,70555472,46116900,335879600,37409100,36306000,26154000,30930800,11955400,33392900
158886000,34926424,21931200,244207600,31169900,28452000,12901600,10586400,10271600,24327000
193978500,43245489,86442300,222731600,225493800,39238000,24512000,9807200,27128400,41268600
362566500,42257801,94162400,330965600,72786800,34234000,30015200,13789200,18888600,35708500
263503500,69623993,72695100,424188800,58522300,49520000,27746400,12762400,16061600,39768700
221101500,53395392,57918200,307608000,44257400,29142000,31882400,15672000,15919100,28035900
141540000,59361671,58303400,239657600,45284700,31328000,27621600,9404800,14012100,26605500
165426000,74743109,67735100,272297200,42790200,30694000,37812000,9886400,14044300,35248400
180916500,82210996,48774900,331928800,154507000,57952000,28468000,12550400,14647300,31875000
172135500,81954037,42581900,345032800,142320600,48772000,22208000,9753200,13040800,27443900
100279500,51845604,50035400,236367600,71644900,36332000,17490400,7406800,11437900,23926000
129295500,62698130,117535700,359525600,75434900,45840000,22675600,6697200,12625400,28615800
215167500,49569103,75794700,340687200,49628500,32872000,24640800,10801600,12400500,22744700
134517000,51697050,54540300,743195600,56881200,35568000,29213200,19507200,15918900,29302400
87487500,64665477,72328300,898696400,39087500,34852000,39616400,11006000,19692300,25153200
92400000,43984248,68072300,404051200,32860200,32124000,30380800,14212000,16250100,22340000
81018000,53214717,52765300,298835600,40899000,27012000,15969600,16403600,17638400,18509900
